country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","03-06-2026 23:00:00","14.438164 ","79.966814 ",NH3,4,6,6
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","03-06-2026 23:00:00","14.438164 ","79.966814 ",SO2,6,15,12
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","03-06-2026 23:00:00","14.438164 ","79.966814 ",OZONE,28,47,39
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","03-06-2026 23:00:00",16.9872867,81.7363176,PM10,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","03-06-2026 23:00:00",16.9872867,81.7363176,NO2,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","03-06-2026 23:00:00",16.9872867,81.7363176,OZONE,9,37,24
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","03-06-2026 23:00:00",13.67,79.35,NH3,2,3,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","03-06-2026 23:00:00",13.615387,79.409230,CO,18,30,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","03-06-2026 23:00:00",16.536107,80.594233,NO2,16,24,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","03-06-2026 23:00:00",16.536107,80.594233,NH3,4,5,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","03-06-2026 23:00:00",16.486692,80.699436,NH3,4,7,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","03-06-2026 23:00:00",16.509717,80.612222,PM2.5,54,68,62
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","03-06-2026 23:00:00",16.509717,80.612222,NH3,4,6,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","03-06-2026 23:00:00",16.509717,80.612222,CO,24,40,35
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","03-06-2026 23:00:00",16.554731,80.649110,PM2.5,53,80,64
